Título,Referenciado en,Agregado por,,,,,,
"Ortiz, Fernando. Glosario de afronegrismos. (1924). Havana: Ciencias Sociales, 1990",Carnival and National Identity,Thomas Anderson,,,,,,
"Ortiz, Fernando. Hampa afro-cubana: Los negros brujos (1906). Havana: Editorial de Ciencias Sociales, 1995",Carnival and National Identity,Thomas Anderson,,,,,,
"Ortiz, Fernando. La antigua fiesta afrocubana del Día de Reyes. (1920) Rev. ed. Havana: Ministerio de Cultura, 1960",Carnival and National Identity,Thomas Anderson,,,,,,
"Ortiz, Fernando. Los bailes y el teatro de los negros en el folklore de Cuba. (1951). Madrid: Música Mundana Maqueda, 1998",Carnival and National Identity,Thomas Anderson,,,,,,
"Palma, Ricardo. Cien tradiciones peruanas. Caracas: Biblioteca Ayacucho, 1977.",Mujeres en tránsito,Vanesa Miseres,,,,,,
"Palés Matos, Luis. Poesía, 1915-1956. San Juan: Universidad de Puerto Rico, 1974.",Espectros y conjuras,Carlos Jáuregui,,,,,,
"Palés Matos, Luis. Tuntún de pasa y grifería. San Juan: Biblioteca de autores puertorriqueños, 1937",Carnival and National Identity; Crossing Waters,Thomas Anderson; Marisel Moreno,,,,,,
"Pedreira, Antonio S. Insularismo. Río Piedras, PR: Edil, 1969. Originally published in 1934.",Crossing Waters; Family Matters,Marisel Moreno,,,,,,
"Pimentel, Francisco. 1864. Memoria sobre las causas que han originado la situación actual de la raza indígena de México, y medios de remediarla. Mexico City: Andrade y Escalante.",El estado mestizo,Joshua Lund,,,,,,
"Quevedo, Francisco de. Política de Dios. Ed. James O. Crosby. Urbana: U of Illinois P, 1966.",Instable puente,Juan Vitulli,,,,,,
"Ramírez, Ignacio. 1872 [1960]. “Los habitantes primitivos del continente americano: Discurso leído en la Sociedad de Geografía y Estadística.” In Obras de Ignacio Ramírez, vol. 1, 199–211. Mexico City: Editora Nacional.",El estado mestizo,Joshua Lund,,,,,,
"Riva Agüero, José de la. Obras completas. Vol. 2. Lima: Pontificia Universidad Católica del Perú, 1962.",Instable puente,Juan Vitulli,,,,,,
"Riva Palacio, Vicente. 1889 . México a través de los siglos, vol. 2. Mexico City. ",El estado mestizo,Joshua Lund,,,,,,
"Robles, Pablo. 1891 [1982]. Los plateados de Tierra Caliente: Episodios de la Guerra de Tres Años en el estado de Morelos; Cuento semi-histórico. La Matraca, Mexico.",El estado mestizo,Joshua Lund,,,,,,
"Rodó, José Enrique. Ariel. Motivos de Proteo. Caracas: Biblioteca Ayacucho, 1976.",Food Studies; Mujeres en tránsito,Vanesa Miseres,,,,,,
"Rojas, Ricardo. Blasón de Plata. Buenos Aires: M. García Editor, 1912.",Mujeres en tránsito,Vanesa Miseres,,,,,,
"Rojas, Ricardo. Eurindia (Ensayo de estética sobre las culturas americanas). Buenos Aires: Editorial Losada, 1951.",Mujeres en tránsito,Vanesa Miseres,,,,,,
"Rojas, Ricardo. Historia de la literatura argentina; ensayo filoso",Mujeres en tránsito,Vanesa Miseres,,,,,,
"Rosales, Diego de. Historia general del reino de Chile, Flandes Indiano, vol. I. Santiago de Chile: Editorial Andrés Bello, 1989.",Espectros y conjuras,Carlos Jáuregui,,,,,,
"Sahagún, fray Bernardino de. Historia general de las cosas de la Nueva España. Eds. Alfredo Agustín López y Josefina García Quintana. Madrid: Alianza, 1988",Espectros y conjuras,Carlos Jáuregui,,,,,,
